ip,port,username,password,protocols,ping,detected,organisation,country,isocode,latitude,longitude,asn,connections,uptime,dateAdded,lastTested,lastSuccess,detection,provider
1.0.163.158,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,7.949999809265137,98.35639953613281,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=998, connections=ConnectionAttempts(success=35, fail=196), uptime=15.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=240), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=654, connections=ConnectionAttempts(success=42, fail=193), uptime=17.0%, visibleIp=null), ms_HK=EndpointServerData(ping=495, connections=ConnectionAttempts(success=40, fail=190), uptime=17.0%, visibleIp=null))",,"2023-04-09 20:07:58.0","2023-04-09 20:40:55.0",,,
1.0.170.50,80,,,"[ProtocolDataType(type=http, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.866700172424316,100.19170379638672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=5791, connections=ConnectionAttempts(success=480, fail=4871), uptime=8.0%, visibleIp=null), ora_UK=EndpointServerData(ping=2449, connections=ConnectionAttempts(success=112, fail=5210), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2358, connections=ConnectionAttempts(success=462, fail=4857), uptime=8.0%, visibleIp=1.0.170.50), ms_HK=EndpointServerData(ping=3265, connections=ConnectionAttempts(success=442, fail=4833), uptime=8.0%, visibleIp=null))",,"2023-04-09 20:27:04.0","2023-04-09 20:45:57.0",,,
1.0.171.213,8080,,,"[ProtocolDataType(type=https, port=8080, tls=false, autoRead=null)]",,true,"TOT Public Company Limited",Thailand,TH,14.33329963684082,100.86669921875,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=3343, connections=ConnectionAttempts(success=332, fail=1838), uptime=15.0%, visibleIp=null), ora_UK=EndpointServerData(ping=2773, connections=ConnectionAttempts(success=96, fail=2051), uptime=4.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1522, connections=ConnectionAttempts(success=355, fail=1807), uptime=16.0%, visibleIp=1.0.171.213), ms_HK=EndpointServerData(ping=3452, connections=ConnectionAttempts(success=332, fail=1805), uptime=15.0%, visibleIp=null))",,"2023-04-09 20:24:07.0","2023-04-09 20:40:54.0",,,
1.0.205.87,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,10.234600067138672,99.07990264892578,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=4759, connections=ConnectionAttempts(success=295, fail=3443), uptime=7.0%, visibleIp=null), ora_UK=EndpointServerData(ping=1987, connections=ConnectionAttempts(success=88, fail=3652), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2674, connections=ConnectionAttempts(success=290, fail=3458), uptime=7.0%, visibleIp=null), ms_HK=EndpointServerData(ping=1692, connections=ConnectionAttempts(success=317, fail=3457), uptime=8.0%, visibleIp=null))",,"2023-04-09 20:01:51.0","2023-04-09 20:39:13.0",,,
1.1.189.58,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,16.53660011291504,102.097900390625,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2432, connections=ConnectionAttempts(success=373, fail=3390), uptime=9.0%, visibleIp=null), ora_UK=EndpointServerData(ping=3778, connections=ConnectionAttempts(success=110, fail=3664), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=4454, connections=ConnectionAttempts(success=374, fail=3427), uptime=9.0%, visibleIp=null), ms_HK=EndpointServerData(ping=1861, connections=ConnectionAttempts(success=359, fail=3424), uptime=9.0%, visibleIp=null))",,"2023-04-09 19:54:22.0","2023-04-09 20:46:42.0",,,
1.1.220.63,8080,,,"[ProtocolDataType(type=https, port=8080, tls=false, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,18.783300399780273,100.7833023071289,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=3373, connections=ConnectionAttempts(success=402, fail=2028), uptime=16.0%, visibleIp=1.1.220.63), ora_UK=EndpointServerData(ping=1425, connections=ConnectionAttempts(success=63, fail=2353), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2246, connections=ConnectionAttempts(success=372, fail=2062), uptime=15.0%, visibleIp=null), ms_HK=EndpointServerData(ping=6786, connections=ConnectionAttempts(success=371, fail=2049), uptime=15.0%, visibleIp=null))",,"2023-04-09 20:32:57.0","2023-04-09 20:46:04.0",,,
1.1.220.71,8080,,,"[ProtocolDataType(type=https, port=8080, tls=false, autoRead=[true]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[true])]",,true,"TOT Public Company Limited",Thailand,TH,18.783300399780273,100.7833023071289,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=759, connections=ConnectionAttempts(success=392, fail=2041), uptime=16.0%, visibleIp=null), ora_UK=EndpointServerData(ping=2037, connections=ConnectionAttempts(success=66, fail=2354), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2581, connections=ConnectionAttempts(success=430, fail=1993), uptime=17.0%, visibleIp=1.1.220.71), ms_HK=EndpointServerData(ping=1083, connections=ConnectionAttempts(success=417, fail=1995), uptime=17.0%, visibleIp=1.1.220.71))",,"2023-04-09 20:42:36.0","2023-04-09 20:42:37.0",,,
1.2.252.65,8080,,,"[ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.616600036621094,100.5531005859375,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=966, connections=ConnectionAttempts(success=472, fail=3297), uptime=12.0%, visibleIp=1.2.211.30), ora_UK=EndpointServerData(ping=2149, connections=ConnectionAttempts(success=129, fail=3647), uptime=3.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1100, connections=ConnectionAttempts(success=440, fail=3305), uptime=11.0%, visibleIp=null), ms_HK=EndpointServerData(ping=5610, connections=ConnectionAttempts(success=472, fail=3281), uptime=12.0%, visibleIp=null))",,"2023-04-09 20:44:25.0","2023-04-09 20:44:45.0",,,
1.4.148.10,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.863800048828125,100.59980010986328,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=864, connections=ConnectionAttempts(success=13, fail=171), uptime=7.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=194), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=520, connections=ConnectionAttempts(success=31, fail=163), uptime=15.0%, visibleIp=null), ms_HK=EndpointServerData(ping=451, connections=ConnectionAttempts(success=37, fail=160), uptime=18.0%, visibleIp=null))",,"2023-04-09 20:18:23.0","2023-04-09 20:24:59.0",,,
1.4.195.114,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.108400344848633,103.18360137939453,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=899, connections=ConnectionAttempts(success=398, fail=2490), uptime=13.0%, visibleIp=null), ora_UK=EndpointServerData(ping=803, connections=ConnectionAttempts(success=109, fail=2781), uptime=3.0%, visibleIp=null), ora_JP=EndpointServerData(ping=552, connections=ConnectionAttempts(success=395, fail=2493), uptime=13.0%, visibleIp=null), ms_HK=EndpointServerData(ping=469, connections=ConnectionAttempts(success=379, fail=2511), uptime=13.0%, visibleIp=null))",,"2023-04-09 20:41:09.0","2023-04-09 20:49:22.0",,,
